Station_ID,STATION_NAME,거치대 수량,위도,경도
101,어울림마을 701동 앞,20,37.65477464,126.8345845
103,대림e-편한세상106동,20,37.66044160000001,126.8403767
104,탄현마을8단지,25,37.69852315,126.76604170000002
105,KT 덕양지사 앞,20,37.65524370000001,126.8392607
106,원당역 앞 공영주차장,30,37.6534097,126.8425305
110,어울림누리 맞은편,20,37.64797206,126.8344693
111,달빛마을3단지 상가 앞,20,37.64290820000001,126.8335098
112,은빛마을5단지 미도파상가,25,37.64095179,126.8333235
113,덕양우체국 건너편,30,37.63767512,126.8353985
114,★덕양구청,30,37.63668759,126.831526
115,롯데마트 화정지점 맞은편,30,37.63267107,126.82969409999998
116,세이브존 앞,25,37.6343604,126.8313421
118,화정역 3번 출구,25,37.63483086,126.8322983
119,★화정역 4번 출구,15,37.6348065,126.8329248
121,세일빌딩 앞,20,37.63113417,126.8304487
123,충현빌딩 앞,20,37.62552893,126.8176155
124,세인연립B동 앞,20,37.6275093,126.8232644
125,꽃우물 공원 앞,30,37.6277308,126.8277172
126,지도초등학교 앞,30,37.6279467,126.8328196
127,행신3동 주민센터 앞,15,37.6264376,126.8385299
128,가람중학교 앞 삼거리,20,37.62406663,126.84063700000002
129,햇빛마을 2312동 앞,20,37.62262032,126.8371739
130,고양 교통정보센터 앞,15,37.62292286,126.8331656
131,능곡고등학교 앞,30,37.62337463,126.8247255
133,능곡역,20,37.6195189,126.8209086
137,서정마을1단지 101동 앞,20,37.6206959,126.8452754
138,롯데마트 고양점 옆,25,37.6255586,126.8360899
139,서정마을 312동 앞,20,37.6136752,126.8502963
140,소만마을 806동 앞,20,37.6178728,126.8413683
141,용현초등학교 앞,20,37.6155698,126.8384562
142,예수인교회 앞,30,37.61862468,126.8360409
143,행신2동 주민센터 옆,20,37.61538770000001,126.8325296
144,행신역 앞,30,37.61249537,126.8338935
146,고양시청 주차장,17,37.6579726,126.8315948
148,무원마을10단지1006동 앞,20,37.6190342,126.8307123
151,◆향동지구 10단지 151,40,37.60705093,126.8949167
152,◆향동지구 2단지 152,40,37.60116204,126.8950278
153,◆향동지구 4단지 153,40,37.59571759,126.8921574
154,◆향동지구 1단지 154,40,37.59410185,126.8903056
155,◆향동 덕은교 155,40,37.59185648,126.882963
161,★학생종합복지센터,25,37.65095833,126.8678565
162,원흥역4번 출구,25,37.65063426,126.8729352
163,원흥역8번 출구,35,37.65062037,126.8744954
164,삼송마을18단지 후문,25,37.64908796,126.8775926
165,삼송마을19단지 후문 사거리,25,37.65031944,126.8831806
166,삼송마을15단지 후문,30,37.65278241,126.8793241
167,동산마을21단지 후문,25,37.64562037,126.8834861
168,삼송마을16단지 솔개천,25,37.65143056,126.8848241
169,삼송역6번 출구,25,37.65349537,126.8965
170,신원마을10단지 한우물천,20,37.66144907,126.8875648
171,신원마을2단지 사거리,30,37.66506944,126.8917685
172,신원마을6단지 정문 앞,25,37.66423148,126.8883981
173,신원도서관,20,37.66628704,126.88687040000002
176,★삼송 신세계스타필드 앞,40,37.648429,126.897768
177,★삼송 신세계 스타필드 후문,40,37.646887,126.89186
178,★이케아 고양점,40,37.62874537,126.8623472
201,고양우편집중국청사,30,37.639539,126.7860488
202,흰돌마을 508동앞,20,37.640895,126.7852254
203,★백석역 3번 출구 앞,20,37.6428785,126.7875584
204,백석역 6번 출구 (신선설농탕),30,37.6442311,126.7883956
205,백신초교 옆,30,37.64417810000001,126.7826322
206,호수초교 옆,30,37.6454152,126.7778255
207,★호수공원 제4주차장 뒤,30,37.64999412,126.7719651
210,★남정씨티프라자 옆,20,37.6636729,126.7670986
211,★정발산역 2번 출구 (롯데백화점),30,37.6597283,126.772704
212,★정발산역 4번 출구 일산동구청 방면,30,37.6584666,126.7742015
213,마두1동 사거리,25,37.6591186,126.78799840000002
214,★마두역 교보생명 옆,20,37.65209019,126.7773584
215,마두역 7번 출구,25,37.6522535,126.7788475
216,가좌2단지 후문,20,37.6885,126.717535
217,강촌공원 육교 앞,30,37.65414060000001,126.7836726
218,강촌마을 515동 앞,20,37.6503188,126.7830662
219,백송3단지 사거리,30,37.64838809,126.7876357
220,일산병원 맞은편,25,37.64619658,126.7914945
221,백석1동주민센터,30,37.64977315,126.7925324
222,백석고 옆,30,37.65248832,126.78806029999998
223,정발중 맞은편,20,37.65888327,126.7820129
224,고양시 공원관리사업소,20,37.66486010000001,126.7761631
225,양지마을 405동 앞,20,37.66851552,126.7705483
226,저동중학교 옆,20,37.66991666,126.7776678
227,명가원 옆,30,37.6736182,126.7786578
228,저동고교 사거리,20,37.67063005,126.7809358
229,★풍산역,15,37.67232823,126.78575390000002
230,냉천초교 맞은편,30,37.66707961,126.7855253
231,국립암센터 맞은편,20,37.6641814,126.7846666
232,★뉴코아아울렛 앞,20,37.654542,126.7765071
233,백마역,25,37.6586851,126.79385829999998
234,마두1동주민센터 옆,20,37.65618472,126.789387
235,백마마을 308동 앞,30,37.65399639,126.7925266
236,성원2차아파트 201동,20,37.66402100000001,126.796886
237,풍동 뜨란체2단지 사거리,25,37.6669671,126.8004752
238,풍동 휴먼시아3단지 301동 앞,25,37.6677533,126.7955072
239,가좌고등학교 옆공원,30,37.688659,126.720122
240,숲속마을로 사거리,20,37.6729726,126.8009178
241,◆동국대병원 사거리,37,37.67405093,126.80616670000002
242,◆식사 3단지 분수대 옆,43,37.68171759,126.8125463
245,★하늘마을4단지 403동 앞,20,37.67556670000001,126.7848532
246,하늘마을1단지 101동 앞,20,37.68074312,126.7816917
247,안곡중학교 옆,25,37.6807026,126.7853256
248,에이스 스파랜드 맞은편,20,37.68516870000001,126.7779392
