포스터,행사명,개최기간,주최,분류
https://www.kintex.com/images/img_nothing.jpg,리더스패밀리OM (12월/1월),2016.12.02 ~ 2017.01.06,월드와이드리더스패밀리  ,회의
https://www.kintex.com/common/download.jsp?attachno=269459&seq=1,"킨텍스 해피월드 시즌7 ""MBC 텔레몬스터 대모험""",2016.12.02 ~ 2017.03.01,"킨텍스, iMBC  ",이벤트
https://www.kintex.com/common/download.jsp?attachno=273829&seq=1,상상체험 키즈월드 실내썰매 시즌4,2016.12.03 ~ 2017.02.12,제이투비  ,이벤트
https://www.kintex.com/common/download.jsp?attachno=272343&seq=1,브릭 라이브 인 코리아,2016.12.17 ~ 2017.01.31,(주)브릭라이브코리아  ,이벤트
https://www.kintex.com/common/download.jsp?attachno=272850&seq=1,미션 탈출게임 체험파크 '잃어버린 섬을 찾아서',2016.12.17 ~ 2017.02.26,대교 어린이TV / 아이 프러덕션  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,원플러스 시무식,2017.01.02 ~ 2017.01.02,주식회사 원플러스  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 LG전자 정책발표회,2017.01.02 ~ 2017.01.03,(주)유니원커뮤니케이션즈  ,회의
https://www.kintex.com/images/img_nothing.jpg,원부동산개발자문상담소 행사,2017.01.03 ~ 2017.01.03,(주)원부동산개발자문상담소  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 LG전자 정책발표회,2017.01.03 ~ 2017.01.03,유니원커뮤니케이션즈  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,시크릿 2017 신년 킥오프 컨벤션,2017.01.03 ~ 2017.01.07,시크릿다이렉트코리아 주식회사   ,이벤트
https://www.kintex.com/images/img_nothing.jpg,현대해상 월례강의,2017.01.04 ~ 2017.01.04,현대해상화재보험(주)일산  ,회의
https://www.kintex.com/images/img_nothing.jpg,경인교대 입학본부 교사연수,2017.01.05 ~ 2017.01.05,경인교육대학교 산학협력단  ,회의
https://www.kintex.com/images/img_nothing.jpg,SEACRET Executives Meeting,2017.01.07 ~ 2017.01.07,시크릿다이렉트코리아 주식회사   ,회의
https://www.kintex.com/images/img_nothing.jpg,암웨이 Freedom OSR 세미나,2017.01.07 ~ 2017.01.07,코리아무비테크  ,회의
https://www.kintex.com/images/img_nothing.jpg,김포한강신도시 센트럴자이 입주자 초청행사,2017.01.07 ~ 2017.01.07,홍대인테리어가구  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,한국기업능률진흥원 강연회,2017.01.10 ~ 2017.01.10,(주)라이프브릿지  ,회의
https://www.kintex.com/images/img_nothing.jpg,반성.다짐.화홥을 위한 대토론회,2017.01.10 ~ 2017.01.11,새누리당  ,회의
https://www.kintex.com/images/img_nothing.jpg,"한국얀센 JK Conference ""Innovation, Integrity & Action!"" ",2017.01.11 ~ 2017.01.12,레드캡투어  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 상반기 더존비즈온 컨벤션,2017.01.11 ~ 2017.01.13,(주)더존비즈온  ,회의
https://www.kintex.com/images/img_nothing.jpg,현대자동차 전국지점장 신년행사,2017.01.11 ~ 2017.01.13,현대자동차(주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국얀센 2017 Brand Convention ,2017.01.12 ~ 2017.01.12,레드캡투어  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,"스터디포스 ""학원의 변신"" 설명회",2017.01.12 ~ 2017.01.12,스터디포스 주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 노사위원 워크샵,2017.01.12 ~ 2017.01.12,한국단자공업(주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 국민은행 경영전략회의 ,2017.01.14 ~ 2017.01.14,에프엠커뮤니케이션즈  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,아우트리거 무료 강연,2017.01.14 ~ 2017.01.14,아우트리거  ,회의
https://www.kintex.com/images/img_nothing.jpg,KB증권 지점장 워크샵 ,2017.01.14 ~ 2017.01.14,현대증권 (주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,꿈에그린 입주자총회,2017.01.14 ~ 2017.01.14,꿈에그린입주차총회  ,회의
https://www.kintex.com/images/img_nothing.jpg,애터미 원데이 세미나(17년 1분기),2017.01.14 ~ 2017.03.04,애터미 주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,시크릿 다이렉트코리아 월드위너스그룹 일일세미나(1분기),2017.01.14 ~ 2017.03.05,정희자  ,회의
https://www.kintex.com/images/img_nothing.jpg,국민의당 전국당원 대표자 대회,2017.01.15 ~ 2017.01.15,국민의당  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,국민의당 VIP대기실,2017.01.15 ~ 2017.01.15,국민의당  ,회의
https://www.kintex.com/images/img_nothing.jpg,대한노인회 세미나,2017.01.17 ~ 2017.01.17,한국노인요양공동생활가정협회  ,회의
https://www.kintex.com/images/img_nothing.jpg,NCIP 운영자회의,2017.01.17 ~ 2017.01.17,주식회사 수화 매니지먼트  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 현대자동차 딜러대회 ,2017.01.17 ~ 2017.01.19,(주)킨텍스  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국국제낚시박람회 참가업체설명회,2017.01.18 ~ 2017.01.18,(주)서울메쎄아이디  ,회의
https://www.kintex.com/images/img_nothing.jpg,Freedom OM Seminar,2017.01.18 ~ 2017.01.18,코리아무비테크  ,회의
https://www.kintex.com/images/img_nothing.jpg,피에스테크 세미나,2017.01.20 ~ 2017.01.20,(주)피에스테크  ,회의
https://www.kintex.com/common/download.jsp?attachno=275226&seq=1,2017 코리아 로봇 챔피언십,2017.01.21 ~ 2017.01.21,퓨너스  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,웅진릴리에뜨 브랜드컨벤션,2017.01.21 ~ 2017.01.21,웅진릴리에뜨  ,이벤트
