일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
2017-01-01,2.7,-3.2,544.0,8.4,1411.0,0.0,4.1,1232.0,0.4,185.6
2017-01-02,5.4,0.4,2359.0,10.2,1402.0,0.0,7.3,1504.0,1.6,309.4
2017-01-03,0.5,-4.8,736.0,7.7,1347.0,0.0,5.1,1452.0,0.7,309.4
2017-01-04,2.0,-2.6,2339.0,9.4,1455.0,0.0,5.3,1506.0,0.7,323.4
2017-01-05,2.8,-3.2,317.0,8.5,1422.0,0.0,6.2,1548.0,0.6,109.7
2017-01-06,4.0,-0.5,2348.0,10.7,1448.0,0.0,5.6,1112.0,0.6,163.1
2017-01-07,2.6,-2.7,724.0,9.5,1448.0,0.0,5.3,1139.0,0.5,331.9
2017-01-08,5.8,0.6,432.0,11.1,1127.0,0.0,5.9,2152.0,1.2,323.4
2017-01-09,1.5,-4.6,2358.0,5.4,1427.0,0.0,8.3,1339.0,2.4,331.9
2017-01-10,-3.8,-8.1,735.0,2.7,1248.0,0.0,10.1,1730.0,2.0,298.1
2017-01-11,-4.7,-11.7,729.0,2.8,1422.0,0.0,8.4,1516.0,1.0,320.6
2017-01-12,-2.3,-6.2,2344.0,2.3,1406.0,0.0,11.1,1439.0,2.2,331.9
2017-01-13,-6.4,-10.3,502.0,-0.6,1425.0,0.0,10.1,1453.0,2.0,334.7
2017-01-14,-8.3,-12.3,2349.0,-3.9,1420.0,0.0,10.9,1658.0,3.1,343.1
2017-01-15,-8.0,-14.8,717.0,-0.4,1514.0,0.0,5.9,1344.0,1.0,323.4
2017-01-16,-5.7,-12.7,640.0,3.1,1529.0,0.0,4.4,1422.0,0.6,320.6
2017-01-17,-3.9,-10.3,746.0,3.4,1512.0,0.0,4.8,1421.0,0.4,320.6
2017-01-18,-1.8,-5.7,731.0,3.4,1549.0,0.0,3.8,1631.0,0.5,312.2
2017-01-19,-2.5,-8.4,758.0,4.6,1431.0,0.0,5.6,1609.0,0.8,289.7
2017-01-20,-5.0,-11.2,2356.0,-1.6,1438.0,4.0,9.3,1151.0,2.2,331.9
2017-01-21,-6.3,-13.5,529.0,0.0,1421.0,1.0,6.4,2337.0,0.8,278.4
2017-01-22,-8.4,-12.5,2358.0,-3.0,1.0,0.0,9.1,1607.0,3.1,312.2
2017-01-23,-10.0,-16.4,727.0,-4.0,1554.0,0.0,5.7,1448.0,0.9,323.4
2017-01-24,-8.9,-15.8,452.0,-1.5,1452.0,0.0,5.1,1532.0,0.8,323.4
2017-01-25,-7.5,-14.7,702.0,0.8,1416.0,0.0,4.5,1258.0,0.5,320.6
2017-01-26,-1.8,-10.7,533.0,3.5,2127.0,0.5,10.7,2126.0,1.9,177.2
2017-01-27,-2.7,-7.6,2331.0,4.1,59.0,3.0,10.6,106.0,2.7,331.9
2017-01-28,-3.1,-10.9,718.0,4.5,1506.0,0.0,4.2,102.0,0.6,84.4
2017-01-29,0.0,-0.9,8.0,1.9,1030.0,3.5,7.9,2209.0,0.7,323.4
2017-01-30,-5.4,-11.4,2358.0,-0.7,1.0,0.0,8.5,1115.0,1.9,312.2
2017-01-31,-6.9,-13.4,623.0,-0.1,1457.0,0.0,5.3,1524.0,0.8,323.4
2017-02-01,-4.4,-8.9,205.0,1.2,1344.0,0.0,8.0,1135.0,2.0,323.4
2017-02-02,-4.0,-12.6,725.0,3.8,1510.0,0.0,6.3,1438.0,1.0,289.7
2017-02-03,-0.1,-4.9,743.0,6.4,1457.0,0.0,4.9,1435.0,0.7,309.4
2017-02-04,0.1,-5.0,709.0,3.6,1247.0,0.0,2.8,2142.0,0.4,87.2
2017-02-05,0.7,-2.9,2328.0,2.8,1535.0,1.0,7.3,1700.0,1.0,323.4
2017-02-06,-1.7,-5.5,740.0,3.0,1515.0,0.0,7.0,408.0,2.0,334.7
2017-02-07,-2.9,-8.3,541.0,3.5,1444.0,0.0,4.9,1534.0,0.8,300.9
2017-02-08,-2.8,-8.1,644.0,1.1,1423.0,0.0,5.7,2117.0,1.0,320.6
2017-02-09,-4.8,-7.4,2351.0,-1.0,1335.0,0.0,9.7,1310.0,2.9,334.7
2017-02-10,-5.9,-9.1,732.0,-1.4,1412.0,0.0,10.8,1305.0,3.6,320.6
2017-02-11,-4.9,-12.3,609.0,1.8,1551.0,0.0,8.4,1354.0,1.7,323.4
2017-02-12,-3.3,-10.6,756.0,5.3,1447.0,0.0,6.8,1320.0,1.1,320.6
2017-02-13,-1.6,-8.8,432.0,6.8,1326.0,0.0,4.5,1409.0,0.6,219.4
2017-02-14,-1.2,-7.2,719.0,6.6,1557.0,0.0,5.4,1436.0,0.9,309.4
2017-02-15,0.1,-6.6,646.0,8.2,1359.0,0.0,4.6,1256.0,0.7,241.9
2017-02-16,5.5,-3.9,609.0,10.5,1512.0,0.0,6.5,1019.0,1.4,196.9
2017-02-17,0.9,-5.1,2354.0,8.2,1.0,3.5,13.1,929.0,3.1,320.6
2017-02-18,-3.1,-9.9,624.0,4.1,1549.0,0.0,9.8,1509.0,1.7,331.9
2017-02-19,2.3,-5.7,335.0,6.4,1634.0,1.5,8.9,1422.0,2.0,165.9
2017-02-20,-1.4,-5.7,2258.0,5.3,212.0,0.5,12.3,1345.0,3.5,334.7
2017-02-21,-2.0,-10.0,613.0,6.6,1519.0,0.0,4.8,1530.0,0.9,289.7
2017-02-22,0.9,-2.1,1.0,3.6,746.0,1.0,7.1,2319.0,1.2,331.9
2017-02-23,-1.2,-4.6,2356.0,3.5,1508.0,0.0,11.1,1252.0,3.3,331.9
2017-02-24,-1.7,-9.1,717.0,5.7,1511.0,0.0,8.7,1513.0,1.2,312.2
2017-02-25,1.5,-5.2,539.0,9.4,1410.0,0.0,7.7,1559.0,1.3,309.4
2017-02-26,1.8,-4.4,723.0,10.4,1417.0,0.0,8.3,1426.0,1.1,320.6
2017-02-27,2.0,-4.9,633.0,11.1,1430.0,0.0,7.3,1500.0,0.8,331.9
2017-02-28,3.8,-3.9,415.0,12.7,1446.0,0.0,6.3,1331.0,0.9,219.4
2017-03-01,4.2,1.0,712.0,12.0,1241.0,4.0,8.7,1525.0,1.2,289.7
2017-03-02,1.4,-3.3,2357.0,7.3,1528.0,0.0,7.0,1456.0,2.1,320.6
2017-03-03,2.3,-5.3,359.0,11.0,1455.0,0.0,8.0,1340.0,1.3,289.7
2017-03-04,3.7,-2.2,626.0,12.1,1358.0,0.0,6.0,1451.0,0.8,345.9
2017-03-05,3.7,-2.1,636.0,10.9,1329.0,0.0,7.7,2339.0,1.2,320.6
2017-03-06,0.3,-3.0,647.0,5.1,1507.0,0.0,10.5,1745.0,3.2,320.6
2017-03-07,-1.2,-4.2,2357.0,3.7,1428.0,0.0,12.6,1813.0,3.1,343.1
2017-03-08,-0.5,-7.9,539.0,7.1,1519.0,0.0,10.9,1244.0,2.0,320.6
2017-03-09,3.2,-5.3,448.0,11.8,1449.0,0.0,9.9,1426.0,2.2,253.1
2017-03-10,3.1,-4.9,522.0,13.1,1453.0,0.0,7.6,1609.0,1.0,323.4
2017-03-11,5.5,-3.1,605.0,16.4,1425.0,0.0,8.0,1549.0,0.9,320.6
2017-03-12,7.3,1.2,351.0,14.5,1322.0,0.0,7.8,2249.0,1.1,331.9
2017-03-13,5.6,-1.9,615.0,13.3,1618.0,0.0,7.3,1540.0,1.7,312.2
2017-03-14,5.1,-2.2,723.0,12.3,1319.0,0.0,10.6,1553.0,2.2,323.4
2017-03-15,4.3,-3.4,619.0,13.8,1445.0,0.0,6.3,1341.0,1.1,331.9
2017-03-16,4.5,-3.1,621.0,14.3,1410.0,0.0,6.6,1637.0,1.0,320.6
2017-03-17,5.8,-2.4,631.0,16.9,1502.0,0.0,6.3,1619.0,0.9,331.9
2017-03-18,8.1,2.5,2353.0,16.9,1434.0,0.0,7.8,1553.0,1.2,312.2
2017-03-19,8.9,-0.6,448.0,19.2,1531.0,0.0,5.5,1532.0,0.9,278.4
2017-03-20,8.3,1.7,552.0,15.3,1508.0,0.0,5.1,1930.0,0.7,286.9
2017-03-21,6.4,0.3,633.0,14.4,1519.0,0.0,9.2,1834.0,1.7,331.9
2017-03-22,6.1,-2.4,651.0,15.4,1452.0,0.0,7.0,1621.0,1.2,255.9
2017-03-23,7.4,1.4,501.0,16.0,1557.0,0.0,7.0,1546.0,1.2,323.4
2017-03-24,7.2,-0.4,548.0,15.3,1519.0,0.0,6.0,1629.0,1.0,312.2
2017-03-25,6.6,1.6,713.0,14.3,1429.0,0.0,7.1,1521.0,1.3,264.4
2017-03-26,6.6,1.3,20.0,12.7,1232.0,0.0,7.5,2352.0,1.3,267.2
2017-03-27,5.3,0.8,2358.0,12.9,1359.0,0.5,11.3,1440.0,1.5,345.9
2017-03-28,6.0,-0.8,524.0,14.0,1518.0,0.0,6.2,1426.0,1.2,323.4
2017-03-29,8.0,1.1,106.0,15.6,1313.0,0.0,6.6,1653.0,1.1,331.9
2017-03-30,9.2,0.4,612.0,18.2,1447.0,0.0,5.7,1248.0,1.1,354.4
