행정구역,조회기준,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
경기도 고양시 (4128000000),2017년01월,"1,040,648","402,440",2.59,"511,353","529,295",0.97
경기도 고양시 (4128000000),2017년02월,"1,040,483","403,042",2.58,"511,266","529,217",0.97
경기도 고양시 (4128000000),2017년03월,"1,040,482","403,443",2.58,"511,182","529,300",0.97
경기도 고양시 (4128000000),2017년04월,"1,040,608","403,933",2.58,"511,225","529,383",0.97
경기도 고양시 (4128000000),2017년05월,"1,040,892","404,603",2.57,"511,347","529,545",0.97
경기도 고양시 (4128000000),2017년06월,"1,041,375","405,641",2.57,"511,587","529,788",0.97
경기도 고양시 (4128000000),2017년07월,"1,041,587","406,314",2.56,"511,575","530,012",0.97
경기도 고양시 (4128000000),2017년08월,"1,041,507","406,768",2.56,"511,486","530,021",0.97
경기도 고양시 (4128000000),2017년09월,"1,041,399","407,272",2.56,"511,328","530,071",0.96
경기도 고양시 (4128000000),2017년10월,"1,041,706","407,871",2.55,"511,397","530,309",0.96
경기도 고양시 (4128000000),2017년11월,"1,042,065","408,405",2.55,"511,644","530,421",0.96
경기도 고양시 (4128000000),2017년12월,"1,041,983","408,816",2.55,"511,564","530,419",0.96
경기도 고양시 (4128000000),2018년01월,"1,041,597","409,202",2.55,"511,344","530,253",0.96
경기도 고양시 (4128000000),2018년02월,"1,041,430","409,713",2.54,"511,236","530,194",0.96
경기도 고양시 (4128000000),2018년03월,"1,041,450","410,427",2.54,"511,114","530,336",0.96
경기도 고양시 (4128000000),2018년04월,"1,041,751","411,178",2.53,"511,210","530,541",0.96
경기도 고양시 (4128000000),2018년05월,"1,042,127","411,792",2.53,"511,405","530,722",0.96
경기도 고양시 (4128000000),2018년06월,"1,043,365","412,850",2.53,"511,971","531,394",0.96
경기도 고양시 (4128000000),2018년07월,"1,043,633","413,484",2.52,"512,022","531,611",0.96
경기도 고양시 (4128000000),2018년08월,"1,043,406","414,515",2.52,"511,866","531,540",0.96
경기도 고양시 (4128000000),2018년09월,"1,043,035","415,051",2.51,"511,693","531,342",0.96
경기도 고양시 (4128000000),2018년10월,"1,043,129","415,905",2.51,"511,752","531,377",0.96
경기도 고양시 (4128000000),2018년11월,"1,043,958","416,954",2.5,"512,224","531,734",0.96
경기도 고양시 (4128000000),2018년12월,"1,044,189","417,607",2.5,"512,359","531,830",0.96
경기도 고양시 (4128000000),2019년01월,"1,043,997","418,085",2.5,"512,223","531,774",0.96
경기도 고양시 (4128000000),2019년02월,"1,043,426","418,575",2.49,"511,917","531,509",0.96
경기도 고양시 (4128000000),2019년03월,"1,044,179","419,505",2.49,"512,152","532,027",0.96
경기도 고양시 (4128000000),2019년04월,"1,045,533","420,749",2.48,"512,768","532,765",0.96
경기도 고양시 (4128000000),2019년05월,"1,046,552","421,975",2.48,"513,309","533,243",0.96
경기도 고양시 (4128000000),2019년06월,"1,047,575","422,864",2.48,"513,781","533,794",0.96
경기도 고양시 (4128000000),2019년07월,"1,051,177","424,902",2.47,"515,498","535,679",0.96
경기도 고양시 (4128000000),2019년08월,"1,055,873","427,586",2.47,"517,685","538,188",0.96
경기도 고양시 (4128000000),2019년09월,"1,059,340","429,931",2.46,"519,410","539,930",0.96
경기도 고양시 (4128000000),2019년10월,"1,061,929","431,475",2.46,"520,659","541,270",0.96
경기도 고양시 (4128000000),2019년11월,"1,064,218","432,730",2.46,"521,818","542,400",0.96
경기도 고양시 (4128000000),2019년12월,"1,066,351","434,028",2.46,"522,749","543,602",0.96
경기도 고양시 덕양구 (4128100000),2017년01월,"446,851","178,516",2.5,"221,810","225,041",0.99
경기도 고양시 덕양구 (4128100000),2017년02월,"446,690","178,853",2.5,"221,762","224,928",0.99
경기도 고양시 덕양구 (4128100000),2017년03월,"446,598","178,968",2.5,"221,643","224,955",0.99
경기도 고양시 덕양구 (4128100000),2017년04월,"446,614","179,203",2.49,"221,637","224,977",0.99
경기도 고양시 덕양구 (4128100000),2017년05월,"446,787","179,527",2.49,"221,688","225,099",0.98
경기도 고양시 덕양구 (4128100000),2017년06월,"447,308","180,093",2.48,"221,937","225,371",0.98
경기도 고양시 덕양구 (4128100000),2017년07월,"447,540","180,466",2.48,"222,046","225,494",0.98
경기도 고양시 덕양구 (4128100000),2017년08월,"447,659","180,725",2.48,"222,069","225,590",0.98
