servicetype,place_nm,X,Y
공연장,활주로7080 공연장,126.76748660,37.66350213
공연장,행주아트홀,126.82288460,37.60256329
공연장,올리브,126.76787950,37.66310189
공연장,3 NEW THEATRE,126.72524780,37.69086437
공연장,터 시어터,126.78217290,37.65943261
공연장,벧엘뮤직홀,126.77239340,37.65800941
공연장,우경아트홀(k뮤직아카데미),126.83104780,37.63142043
공연장,레미어린이극장,126.75379020,37.66719469
공연장,나가수공연장,126.76666710,37.66352438
공연장,노루목야외극장,126.77464700,37.66152217
공연장,아람극장,126.77464700,37.66152217
박물관/미술관,배다리박물관,126.84627990,37.65847016
박물관/미술관,장천 꽃 박물관,126.82482620,37.65178441
박물관/미술관,(주)일산씨월드-한화 아쿠아플라넷 일산,126.75545540,37.66351986
박물관/미술관,증권박물관,126.78622060,37.63868866
박물관/미술관,테마동물원Zoozoo,126.85496610,37.68929809
박물관/미술관,증권박물관,126.78622060,37.63868866
박물관/미술관,고양어린이박물관,126.83062320,37.62946039
박물관/미술관,목암미술관,126.92177070,37.71836776
박물관/미술관,배다골민속박물관,126.84763530,37.63104609
박물관/미술관,민속전시관,126.78004010,37.67020358
박물관/미술관,유진민속박물관,126.86581300,37.64586718
박물관/미술관,포마자동차디자인미술관,126.89643870,37.59178265
공연장,통통이소극장(뽀로로파크 킨텍스점),126.74182090,37.66469190
공연장,새라새극장,126.77362720,37.66160109
공연장,아람음악당,126.77428310,37.66078682
박물관/미술관,아람미술관,126.77332410,37.66075142
공연장,토당청소년수련관,126.82978730,37.62580794
공연장,별모래극장,126.83480300,37.65056635
공연장,어울림극장,126.83542910,37.65023587
공연장,꽃메야외극장,126.83517070,37.64961425
공연장,고양시문예회관,126.83284520,37.65794270
박물관/미술관,재단법인 중남미 문화원 병설 박물관,126.89561790,37.70372702
박물관/미술관,고양가와지볍씨박물관,126.86928200,37.64958721
